step,train_loss,train_acc,dev_loss,dev_acc
0,9.351049423217773,0.095,25.748620986938477,0.09757142857142857
100,0.8567347526550293,0.7445,0.7598816156387329,0.7342857142857143
200,0.6023040413856506,0.79825,0.5767114758491516,0.7961428571428572
300,0.5182619094848633,0.817,0.5266225337982178,0.8144285714285714
400,0.3889205753803253,0.84075,0.47883403301239014,0.8351428571428572
500,0.3827493488788605,0.84625,0.4714861810207367,0.8265714285714286
600,0.39233529567718506,0.861,0.4291669428348541,0.8497142857142858
700,0.33878660202026367,0.8605,0.4296439588069916,0.8494285714285714
800,0.3101496398448944,0.85275,0.4782559275627136,0.8388571428571429
900,0.3124038279056549,0.8735,0.4049789309501648,0.8585714285714285
1000,0.26744022965431213,0.88925,0.4106813371181488,0.8567142857142858
1100,0.36664605140686035,0.8605,0.44688278436660767,0.847
1200,0.27686893939971924,0.882,0.40071040391921997,0.8621428571428571
1300,0.32157161831855774,0.86925,0.42000171542167664,0.8481428571428572
1400,0.24252693355083466,0.88025,0.38518422842025757,0.8648571428571429
1500,0.5909178853034973,0.87475,0.3955104649066925,0.865
1600,0.3557901978492737,0.885,0.3806300163269043,0.8674285714285714
1700,0.41257360577583313,0.895,0.3861980438232422,0.8685714285714285
1800,0.580568253993988,0.8855,0.3771233558654785,0.8704285714285714
1900,0.306548535823822,0.895,0.3791828155517578,0.8694285714285714
2000,0.37865975499153137,0.889,0.3835486173629761,0.8685714285714285
2100,0.45103752613067627,0.89575,0.39647653698921204,0.8658571428571429
2200,0.13177013397216797,0.888,0.38330531120300293,0.8698571428571429
2300,0.2714347243309021,0.8785,0.41460999846458435,0.8584285714285714
2400,0.34682390093803406,0.89725,0.3790571391582489,0.8698571428571429
2500,0.3631386160850525,0.89475,0.37276747822761536,0.8714285714285714
2600,0.3554007411003113,0.8815,0.38666531443595886,0.867
2700,0.21901503205299377,0.8915,0.3979331851005554,0.8631428571428571
2800,0.12589780986309052,0.90675,0.37125664949417114,0.8732857142857143
2900,0.5123493671417236,0.896,0.37773191928863525,0.8691428571428571
3000,0.37703937292099,0.8955,0.3796972632408142,0.8698571428571429
