step,train_loss,train_acc,dev_loss,dev_acc
0,12.990270614624023,0.1185,5.481599807739258,0.109
100,0.8414387106895447,0.7525,0.7411651611328125,0.756
200,0.6537332534790039,0.79,0.6028496026992798,0.7971428571428572
300,0.5614309310913086,0.82075,0.5362527966499329,0.8195714285714286
400,0.41578230261802673,0.8345,0.4998142421245575,0.8297142857142857
500,0.48458847403526306,0.84325,0.49188032746315,0.8318571428571429
600,0.4173530042171478,0.84375,0.46402841806411743,0.8391428571428572
700,0.288314551115036,0.8485,0.4625907242298126,0.846
800,0.30795609951019287,0.86075,0.4450834393501282,0.8491428571428571
900,0.3538099527359009,0.86825,0.4270496368408203,0.856
1000,0.4431014955043793,0.87175,0.44191786646842957,0.8501428571428571
1100,0.3749600946903229,0.8645,0.4294717013835907,0.8541428571428571
1200,0.3950246572494507,0.872,0.4103177785873413,0.8591428571428571
1300,0.35861486196517944,0.87425,0.40527400374412537,0.8618571428571429
1400,0.34662163257598877,0.8775,0.40081149339675903,0.8617142857142858
1500,0.4080611765384674,0.87525,0.40152546763420105,0.8617142857142858
1600,0.3050859272480011,0.88325,0.40067803859710693,0.866
1700,0.39171919226646423,0.88775,0.4067309498786926,0.8612857142857143
1800,0.2888893485069275,0.872,0.387496680021286,0.8705714285714286
1900,0.2985370457172394,0.88625,0.3783082664012909,0.8721428571428571
2000,0.38547125458717346,0.8875,0.3950594961643219,0.8657142857142858
2100,0.3638323247432709,0.8975,0.3830620050430298,0.8685714285714285
2200,0.2712215185165405,0.8915,0.37479522824287415,0.8715714285714286
2300,0.343862920999527,0.88225,0.39044123888015747,0.8667142857142857
2400,0.35049623250961304,0.8905,0.3726515769958496,0.8731428571428571
2500,0.23250190913677216,0.89325,0.3789668679237366,0.8752857142857143
2600,0.2896479368209839,0.89475,0.38245290517807007,0.8721428571428571
2700,0.26394903659820557,0.892,0.3795778453350067,0.8707142857142857
2800,0.2707546353340149,0.903,0.3648432493209839,0.8765714285714286
2900,0.2552974820137024,0.90075,0.3728189468383789,0.877
3000,0.24865524470806122,0.89775,0.3810570240020752,0.8774285714285714
3100,0.2508305609226227,0.895,0.3693177402019501,0.8754285714285714
3200,0.24176736176013947,0.90025,0.36407506465911865,0.8717142857142857
3300,0.27095040678977966,0.906,0.37471094727516174,0.8785714285714286
3400,0.29972225427627563,0.9135,0.3820808231830597,0.877
3500,0.3549211323261261,0.90275,0.36501017212867737,0.8765714285714286
3600,0.2362077683210373,0.90475,0.3694763481616974,0.8797142857142857
3700,0.2350068986415863,0.9015,0.3664179742336273,0.8782857142857143
3800,0.25788596272468567,0.9095,0.37185725569725037,0.8787142857142857
3900,0.2817886173725128,0.90175,0.3771878480911255,0.8785714285714286
4000,0.25608357787132263,0.92025,0.3700435757637024,0.8831428571428571
