step,train_loss,train_acc,dev_loss,dev_acc
0,32.306640625,0.124,39.24922180175781,0.114
100,1.8451896905899048,0.52375,1.7846436500549316,0.5285714285714286
200,0.8991769552230835,0.59,1.318287968635559,0.5972857142857143
300,1.1652171611785889,0.63225,1.1954015493392944,0.6334285714285715
400,1.2935874462127686,0.66375,1.0537619590759277,0.6607142857142857
500,0.9192091226577759,0.67725,1.0204335451126099,0.6692857142857143
600,1.4269492626190186,0.69,0.9360041618347168,0.6957142857142857
700,0.5746716260910034,0.69,0.9011881947517395,0.6891428571428572
800,0.6408994793891907,0.7155,0.8522109985351562,0.7151428571428572
900,0.9216488003730774,0.7275,0.868009626865387,0.7178571428571429
1000,0.7803467512130737,0.74275,0.8007603287696838,0.7311428571428571
1100,0.9614338874816895,0.71275,0.8360118865966797,0.7182857142857143
1200,0.7069976925849915,0.73775,0.8145763278007507,0.7212857142857143
1300,0.782656192779541,0.739,0.7710873484611511,0.7388571428571429
1400,0.8119063377380371,0.72325,0.7918315529823303,0.7317142857142858
1500,0.4980085492134094,0.72425,0.7961351275444031,0.7295714285714285
1600,0.6180375814437866,0.732,0.7725376486778259,0.7398571428571429
1700,0.7391394376754761,0.748,0.7626247406005859,0.7401428571428571
1800,0.74705970287323,0.76275,0.7396389245986938,0.761
1900,0.5107225179672241,0.74625,0.7898310422897339,0.746
2000,0.8512066006660461,0.75425,0.8124268054962158,0.7438571428571429
2100,1.1119149923324585,0.7525,0.7762420773506165,0.7427142857142857
2200,0.680596649646759,0.7255,0.8390520215034485,0.7178571428571429
