step,train_loss,train_acc,dev_loss,dev_acc
0,74.03387451171875,0.1045,72.1594467163086,0.10257142857142858
100,16.471023559570312,0.169,14.424771308898926,0.15628571428571428
200,9.330070495605469,0.35925,7.672268390655518,0.3455714285714286
300,5.212336540222168,0.47375,5.741939544677734,0.45585714285714285
400,4.967000961303711,0.512,4.712197780609131,0.5105714285714286
500,3.0415878295898438,0.567,4.125778675079346,0.5537142857142857
600,3.931406021118164,0.59,3.7050342559814453,0.5851428571428572
700,2.3755581378936768,0.6225,3.429626226425171,0.6091428571428571
800,2.0880401134490967,0.6235,3.1904919147491455,0.618
900,2.494636297225952,0.64425,3.0039989948272705,0.6421428571428571
1000,3.3052475452423096,0.665,2.8503482341766357,0.6512857142857142
